product,batch,reg,reg_lookup,server_lookup,key,value
vt16,dfve,eu-west-1,eu,nondb,maintwindow-vantage-vt16,rebootgroup2-nondb
vt16,dfve,eu-central-1,eu,db,maintwindow-vantage-vt16,rebootgroup1-dbonly
vt16,dfve,eu-central-1,eu,nondb,maintwindow-vantage-vt16,rebootgroup2-nondb
vt17,dfve,ap-southeast-1,ap,db,maintwindow-vantage-vt17,rebootgroup1-dbonly
vt17,dfve,ap-southeast-1,ap,nondb,maintwindow-vantage-vt17,rebootgroup2-nondb
vt17,dfve,ap-southeast-2,ap,db,maintwindow-vantage-vt17,rebootgroup1-dbonly
vt17,dfve,ap-southeast-2,ap,nondb,maintwindow-vantage-vt17,rebootgroup2-nondb
vt18,dfve,ca-central-1,ca,db,maintwindow-vantage-vt18,rebootgroup1-dbonly
vt18,dfve,ca-central-1,ca,nondb,maintwindow-vantage-vt18,rebootgroup2-nondb
vt19,dfve,us-east-1,us,db,maintwindow-vantage-vt19,rebootgroup1-dbonly
vt19,dfve,us-east-1,us,nondb,maintwindow-vantage-vt19,rebootgroup2-nondb
vt19,dfve,us-west-2,us,db,maintwindow-vantage-vt19,rebootgroup1-dbonly
vt19,dfve,us-west-2,us,nondb,maintwindow-vantage-vt19,rebootgroup2-nondb
vt20,dfve,us-east-1,us,db,maintwindow-vantage-vt20,rebootgroup1-dbonly
vt20,dfve,us-east-1,us,nondb,maintwindow-vantage-vt20,rebootgroup2-nondb
vt20,dfve,us-west-2,us,db,maintwindow-vantage-vt20,rebootgroup1-dbonly
vt20,dfve,us-west-2,us,nondb,maintwindow-vantage-vt20,rebootgroup2-nondb
vt21,dfve,us-east-1,us,db,maintwindow-vantage-vt21,rebootgroup1-dbonly
vt21,dfve,us-east-1,us,nondb,maintwindow-vantage-vt21,rebootgroup2-nondb
vt21,dfve,us-west-2,us,db,maintwindow-vantage-vt21,rebootgroup1-dbonly
vt21,dfve,us-west-2,us,nondb,maintwindow-vantage-vt21,rebootgroup2-nondb
vt22,dfve,us-east-1,us,db,maintwindow-vantage-vt22,rebootgroup1-dbonly
vt22,dfve,us-east-1,us,nondb,maintwindow-vantage-vt22,rebootgroup2-nondb
vt22,dfve,us-west-2,us,db,maintwindow-vantage-vt22,rebootgroup1-dbonly
vt22,dfve,us-west-2,us,nondb,maintwindow-vantage-vt22,rebootgroup2-nondb
vt23,dfve,us-east-1,us,db,maintwindow-vantage-vt23,rebootgroup1-dbonly
vt23,dfve,us-east-1,us,nondb,maintwindow-vantage-vt23,rebootgroup2-nondb
vt23,dfve,us-west-2,us,db,maintwindow-vantage-vt23,rebootgroup1-dbonly
vt23,dfve,us-west-2,us,nondb,maintwindow-vantage-vt23,rebootgroup2-nondb
vt24,dfve,us-east-1,us,db,maintwindow-vantage-vt24,rebootgroup1-dbonly
vt24,dfve,us-east-1,us,nondb,maintwindow-vantage-vt24,rebootgroup2-nondb
vt24,dfve,us-west-2,us,db,maintwindow-vantage-vt24,rebootgroup1-dbonly
vt24,dfve,us-west-2,us,nondb,maintwindow-vantage-vt24,rebootgroup2-nondb
vt25,dfve,us-east-1,us,db,maintwindow-vantage-vt25,rebootgroup1-dbonly
vt25,dfve,us-east-1,us,nondb,maintwindow-vantage-vt25,rebootgroup2-nondb
vt25,dfve,us-west-2,us,db,maintwindow-vantage-vt25,rebootgroup1-dbonly
vt25,dfve,us-west-2,us,nondb,maintwindow-vantage-vt25,rebootgroup2-nondb
vt26,dfve,us-east-1,us,db,maintwindow-vantage-vt26,rebootgroup1-dbonly
vt26,dfve,us-east-1,us,nondb,maintwindow-vantage-vt26,rebootgroup2-nondb
vt26,dfve,us-west-2,us,db,maintwindow-vantage-vt26,rebootgroup1-dbonly
vt26,dfve,us-west-2,us,nondb,maintwindow-vantage-vt26,rebootgroup2-nondb
vt27,dfve,us-east-1,us,db,maintwindow-vantage-vt27,rebootgroup1-dbonly
